run,t0_delete_ms,t1_k8s_ready_ms,t2_runtime_ms,t3_inference_start_ms,t4_inference_done_ms,pod_recovery_ms,runtime_recovery_ms,ready_to_runtime_ms,functional_recovery_ms,ready_to_inference_ms,request_wall_ms,http_code,total_duration_ms,load_duration_ms,prompt_eval_duration_ms,eval_duration_ms,memory_current_bytes
1,1787857722082,1787857723876,1787857724581,1787857724596,1787857728637,1794,2499,705,6555,4761,4041,200,3927,3656,190,77,5668294656
2,1787857743813,1787857745066,1787857745183,1787857745198,1787857749284,1253,1370,117,5471,4218,4086,200,3963,3659,223,77,5666676736
3,1787857764465,1787857766248,1787857766764,1787857766779,1787857770820,1783,2299,516,6355,4572,4041,200,3927,3654,193,76,5666742272
4,1787857786000,1787857787397,1787857788296,1787857788311,1787857792357,1397,2296,899,6357,4960,4046,200,3932,3659,193,78,5666902016
5,1787857807540,1787857809529,1787857810042,1787857810057,1787857814103,1989,2502,513,6563,4574,4046,200,3927,3657,191,77,5663969280
6,1787857829277,1787857830663,1787857830784,1787857830798,1787857834841,1386,1507,121,5564,4178,4043,200,3933,3661,194,76,5673406464
7,1787857850018,1787857851813,1787857852516,1787857852531,1787857856568,1795,2498,703,6550,4755,4037,200,3924,3653,192,75,5667532800
8,1787857871750,1787857872997,1787857873105,1787857873120,1787857877158,1247,1355,108,5408,4161,4038,200,3928,3656,194,75,5662629888
9,1787857892339,1787857896518,1787857896629,1787857896644,1787857900709,4179,4290,111,8370,4191,4065,200,3946,3659,209,75,5668683776
10,1787857915895,1787857917678,1787857919404,1787857919419,1787857923469,1783,3509,1726,7574,5791,4050,200,3929,3658,191,76,5667307520
