run,gpu_used_mib_before,t0_delete_ms,t1_k8s_ready_ms,t2_runtime_ms,t3_inference_start_ms,t4_inference_done_ms,pod_recovery_ms,runtime_recovery_ms,ready_to_runtime_ms,functional_recovery_ms,ready_to_inference_ms,request_wall_ms,http_code,total_duration_ms,load_duration_ms,prompt_eval_duration_ms,eval_duration_ms,memory_current_bytes,gpu_used_mib_after
1,0,1788113204935,1788113210510,1788113210631,1788113210647,1788113274359,5575,5696,121,69424,63849,63712,200,63580,34359,29194,18,1089806336,2554
2,2554,1788113289638,1788113295417,1788113295533,1788113295549,1788113359316,5779,5895,116,69678,63899,63767,200,63622,34373,29225,17,1097682944,2554
3,2554,1788113374595,1788113380383,1788113380501,1788113380517,1788113444209,5788,5906,118,69614,63826,63692,200,63558,34392,29142,17,1098428416,2554
