model,runs,pod_recovery_ms_mean,pod_recovery_ms_median,pod_recovery_ms_stddev,pod_recovery_ms_min,pod_recovery_ms_max,runtime_recovery_ms_mean,runtime_recovery_ms_median,runtime_recovery_ms_stddev,runtime_recovery_ms_min,runtime_recovery_ms_max,ready_to_runtime_ms_mean,ready_to_runtime_ms_median,ready_to_runtime_ms_stddev,ready_to_runtime_ms_min,ready_to_runtime_ms_max,functional_recovery_ms_mean,functional_recovery_ms_median,functional_recovery_ms_stddev,functional_recovery_ms_min,functional_recovery_ms_max,ready_to_inference_ms_mean,ready_to_inference_ms_median,ready_to_inference_ms_stddev,ready_to_inference_ms_min,ready_to_inference_ms_max,request_wall_ms_mean,request_wall_ms_median,request_wall_ms_stddev,request_wall_ms_min,request_wall_ms_max,total_duration_ms_mean,total_duration_ms_median,total_duration_ms_stddev,total_duration_ms_min,total_duration_ms_max,load_duration_ms_mean,load_duration_ms_median,load_duration_ms_stddev,load_duration_ms_min,load_duration_ms_max,prompt_eval_duration_ms_mean,prompt_eval_duration_ms_median,prompt_eval_duration_ms_stddev,prompt_eval_duration_ms_min,prompt_eval_duration_ms_max,eval_duration_ms_mean,eval_duration_ms_median,eval_duration_ms_stddev,eval_duration_ms_min,eval_duration_ms_max,memory_current_bytes_mean,memory_current_bytes_median,memory_current_bytes_min,memory_current_bytes_max
llama3.2-1b,10,1656.9,1617.0,280.2754399197729,1330,2208,2429.4,2392.5,516.6482147242723,1485,3628,772.5,784.0,482.30724416887807,155,1767,11111.8,10566.0,1140.4843805253197,10111,13428,9454.9,8905.5,1199.0075015982547,8243,11567,8654.6,8232.0,871.7670687874269,7789,10368,8462.4,8041.0,862.4661281593743,7618,10169,5507.7,5372.5,583.2464792483154,5012,6823,2616.3,2435.5,492.66194179060443,2227,3847,332.7,303.5,97.89682777745605,255,591,,,,
llama3.2-3b,10,1961.9,1875.0,561.1316838912828,1219,3258,2437.2,2446.0,483.9361298537006,1385,3428,475.3,440.5,303.0020351966853,166,917,16271.9,15923.5,2038.5107009230483,13865,21589,14310.0,13943.0,1847.7419252217617,12646,19326,13802.4,13389.5,1929.3725059372716,12450,19112,13566.5,13174.5,1947.0659550547673,12249,18924,8596.3,7953.5,1790.066668528795,7456,13434,4328.4,4341.0,371.31843177760214,3702,4988,633.5,471.0,357.46771415984784,392,1484,2925813350.4,2924507136.0,2921902080.0,2930614272.0
