dataset,platform,model,cache_condition,runs,pod_recovery_ms_mean,pod_recovery_ms_median,pod_recovery_ms_stddev,pod_recovery_ms_min,pod_recovery_ms_max,runtime_recovery_ms_mean,runtime_recovery_ms_median,runtime_recovery_ms_stddev,runtime_recovery_ms_min,runtime_recovery_ms_max,ready_to_runtime_ms_mean,ready_to_runtime_ms_median,ready_to_runtime_ms_stddev,ready_to_runtime_ms_min,ready_to_runtime_ms_max,functional_recovery_ms_mean,functional_recovery_ms_median,functional_recovery_ms_stddev,functional_recovery_ms_min,functional_recovery_ms_max,ready_to_inference_ms_mean,ready_to_inference_ms_median,ready_to_inference_ms_stddev,ready_to_inference_ms_min,ready_to_inference_ms_max,request_wall_ms_mean,request_wall_ms_median,request_wall_ms_stddev,request_wall_ms_min,request_wall_ms_max,total_duration_ms_mean,total_duration_ms_median,total_duration_ms_stddev,total_duration_ms_min,total_duration_ms_max,load_duration_ms_mean,load_duration_ms_median,load_duration_ms_stddev,load_duration_ms_min,load_duration_ms_max,prompt_eval_duration_ms_mean,prompt_eval_duration_ms_median,prompt_eval_duration_ms_stddev,prompt_eval_duration_ms_min,prompt_eval_duration_ms_max,eval_duration_ms_mean,eval_duration_ms_median,eval_duration_ms_stddev,eval_duration_ms_min,eval_duration_ms_max,memory_current_bytes_mean,memory_current_bytes_median,memory_current_bytes_min,memory_current_bytes_max,cached_kb_before_mean,cached_kb_after_mean,cached_kb_delta_mean,cached_kb_delta_median,cache_reduction_pct_mean,cache_reduction_pct_median,cache_reduction_pct_min,cache_reduction_pct_max
warm,azure-cpu,llama3.2-3b,warm,10,1883.1,1902.0,258.97595340966393,1256,2130,2459.6,2352.0,323.9228989195491,2283,3368,576.5,418.5,548.7428561924266,311,2112,7582.5,7490.5,417.2617750152641,7019,8287,5699.4,5566.5,544.1536139322752,5226,7031,5108.0,5029.5,308.9742887541148,4702,5707,4992.2,4914.0,308.7450584399872,4586,5597,3951.8,3943.0,159.63903727541776,3691,4239,815.7,797.0,175.57590950924904,589,1058,221.5,204.0,40.99390198553927,190,298,3040210534.4,2959464448.0,2956791808,3768422400,2850023.6,2850112.8,89.2,16.0,,,,
cold,azure-cpu,llama3.2-3b,cold,10,1834.4,1887.5,293.8987732007211,1368,2229,2378.3,2373.0,59.92782696247583,2281,2460,543.9,542.0,282.38958510854786,141,946,8092.0,8102.0,306.8789120592464,7752,8664,6257.6,6322.0,370.5255126918463,5523,6843,5699.0,5732.0,296.1632432741556,5307,6283,5586.3,5619.0,296.1621365250985,5198,6171,4606.1,4620.5,139.92494019612406,4403,4838,772.0,727.0,132.09844813622905,639,1030,203.4,198.5,62.80339693572845,112,299,4292521164.8,4292485120.0,4291411968,4293976064,2206834.0,738944.0,-1467890.0,-1388382.0,66.2029867470602,65.28197833920706,65.16460125602607,74.75121884695373
