run,gpu_used_mib_before,t0_delete_ms,t1_k8s_ready_ms,t2_runtime_ms,t3_inference_start_ms,t4_inference_done_ms,pod_recovery_ms,runtime_recovery_ms,ready_to_runtime_ms,functional_recovery_ms,ready_to_inference_ms,request_wall_ms,http_code,total_duration_ms,load_duration_ms,prompt_eval_duration_ms,eval_duration_ms,memory_current_bytes,gpu_used_mib_after
1,0,1788115244126,1788115249573,1788115249712,1788115249728,1788115253167,5447,5586,139,9041,3594,3439,200,3315,3170,81,9,806809600,2560
2,2560,1788115268446,1788115274292,1788115274418,1788115274435,1788115277801,5846,5972,126,9355,3509,3366,200,3240,3110,83,14,802500608,2560
3,2560,1788115293106,1788115299061,1788115299182,1788115299198,1788115302628,5955,6076,121,9522,3567,3430,200,3307,3172,111,13,807215104,2560
4,2560,1788115317919,1788115323926,1788115324046,1788115324063,1788115327465,6007,6127,120,9546,3539,3402,200,3277,3165,94,10,802045952,2560
5,2560,1788115342768,1788115348538,1788115348660,1788115348677,1788115352091,5770,5892,122,9323,3553,3414,200,3291,3142,125,12,805773312,2560
6,2560,1788115367361,1788115372917,1788115373039,1788115373055,1788115376401,5556,5678,122,9040,3484,3346,200,3215,3113,81,15,805421056,2560
7,2560,1788115391724,1788115397192,1788115397311,1788115397327,1788115400680,5468,5587,119,8956,3488,3353,200,3214,3047,117,11,806965248,2560
8,2560,1788115415966,1788115421730,1788115421849,1788115421866,1788115425239,5764,5883,119,9273,3509,3373,200,3242,3140,80,10,804343808,2560
9,2560,1788115440559,1788115446362,1788115446482,1788115446499,1788115449951,5803,5923,120,9392,3589,3452,200,3328,3187,108,11,802394112,2560
10,2560,1788115465256,1788115470854,1788115470979,1788115470995,1788115474400,5598,5723,125,9144,3546,3405,200,3280,3172,86,13,807337984,2560
